CAIU6211471,20,GP,DM,28330,2150,11/15,MERATUS GORONTALO-S136,MSC,2021-09-20 13:20:53,MSC,,C,PNJMTY275136
SEGU1402549,20,GP,DM,28300,2180,11/18,MERATUS GORONTALO-S136,MSC,2021-09-20 13:21:13,MSC,,B,PNJMTY275136
FCIU6040628,20,GP,AV,28300,2180,07/15,MERATUS GORONTALO-S136,MSC,2021-09-20 13:21:25,MSC,,C,PNJMTY275136
MEDU3675546,20,GP,DM,28200,2280,07/08,MERATUS GORONTALO-S136,MSC,2021-09-20 13:21:39,MSC,,C,PNJMTY275136
TRLU8923552,20,GP,DM,28250,2230,05/06,MERATUS GORONTALO-S136,MSC,2021-09-20 13:22:24,MSC,,C,PNJMTY275136
MEDU3408513,20,GP,DM,28300,2180,06/08,MERATUS GORONTALO-S136,MSC,2021-09-20 13:23:01,MSC,,C,PNJMTY275136
MSDU1323570,20,GP,AV,28280,2200,01/20,MERATUS GORONTALO-S136,MSC,2021-09-20 13:23:29,MSC,,C,PNJMTY275136
MEDU1913970,20,GP,DM,28200,2280,02/07,MERATUS GORONTALO-S136,MSC,2021-09-20 13:24:10,MSC,,C,PNJMTY275136
DRYU2092400,20,GP,DM,28280,2200,05/07,MERATUS GORONTALO-S136,MSC,2021-09-20 13:24:46,MSC,,C,PNJMTY275136
MSCU2591146,20,GP,DM,28200,2280,06/06,MERATUS GORONTALO-S136,MSC,2021-09-20 13:25:10,MSC,,C,PNJMTY275136
MSDU1698067,20,GP,AV,28260,2220,11/20,MERATUS GORONTALO-S136,MSC,2021-09-20 13:27:25,MSC,,C,PNJMTY275136
MEDU6827787,20,GP,AV,28265,2215,05/13,MERATUS GORONTALO-S136,MSC,2021-09-20 13:27:52,MSC,,C,PNJMTY275136
DFSU2842172,20,GP,DM,28300,2180,02/11,MERATUS GORONTALO-S136,MSC,2021-09-20 13:28:04,MSC,,C,PNJMTY275136
FCIU6273131,20,GP,AV,28380,2100,12/17,MERATUS GORONTALO-S136,MSC,2021-09-20 13:28:16,MSC,,C,PNJMTY275136
DRYU2247646,20,GP,AV,28280,2200,05/11,MERATUS GORONTALO-S136,MSC,2021-09-20 13:28:48,MSC,,C,PNJMTY275136
MEDU3105585,20,GP,DM,28200,2280,04/08,MERATUS GORONTALO-S136,MSC,2021-09-20 13:30:01,MSC,,C,PNJMTY275136
MSCU3502950,20,GP,DM,28200,2280,01/06,MERATUS GORONTALO-S136,MSC,2021-09-20 13:30:16,MSC,,C,PNJMTY275136
GLDU5192993,20,GP,AV,28350,2130,10/07,MERATUS GORONTALO-S136,MSC,2021-09-20 13:30:40,MSC,,C,PNJMTY275136
FCIU6031652,20,GP,AV,28330,2150,06/15,MERATUS GORONTALO-S136,MSC,2021-09-20 13:31:05,MSC,,C,PNJMTY275136
MEDU3425547,20,GP,DM,28200,2280,06/08,MERATUS GORONTALO-S136,MSC,2021-09-20 13:35:09,MSC,,C,PNJMTY275136
MSCU3595470,20,GP,DM,28200,2280,02/06,MERATUS GORONTALO-S136,MSC,2021-09-20 13:40:56,MSC,,C,PNJMTY275136
TCLU7674688,20,GP,AV,28290,2190,08/14,MERATUS GORONTALO-S136,MSC,2021-09-20 13:41:16,MSC,,C,PNJMTY275136
MEDU1252735,20,GP,DM,28200,2280,06/06,MERATUS GORONTALO-S136,MSC,2021-09-20 13:41:38,MSC,,C,PNJMTY275136
BMOU2148745,20,GP,AV,28260,2220,06/08,MERATUS GORONTALO-S136,MSC,2021-09-20 13:46:55,MSC,,C,PNJMTY275136
CAIU2902860,20,GP,AV,28280,2200,04/11,MERATUS GORONTALO-S136,MSC,2021-09-20 13:47:13,MSC,,B,PNJMTY275136
MEDU3749084,20,GP,AV,28200,2280,07/08,MERATUS GORONTALO-S136,MSC,2021-09-20 13:48:32,MSC,,C,PNJMTY275136
GLDU5106357,20,GP,AV,28320,2160,07/07,MERATUS GORONTALO-S136,MSC,2021-09-20 13:51:48,MSC,,C,PNJMTY275136
MEDU6631984,20,GP,AV,28260,2220,03/15,MERATUS GORONTALO-S136,MSC,2021-09-20 13:53:47,MSC,,C,PNJMTY275136
MEDU5375065,20,GP,AV,28260,2220,10/18,MERATUS GORONTALO-S136,MSC,2021-09-20 13:54:47,MSC,,A,PNJMTY275136
TGCU0126873,20,GP,AV,28300,2180,08/15,MERATUS GORONTALO-S136,MSC,2021-09-20 13:55:17,MSC,,B,PNJMTY275136
GLDU2200740,20,GP,AV,28200,2280,05/02,MERATUS GORONTALO-S136,MSC,2021-09-20 13:55:36,MSC,,C,PNJMTY275136
MEDU6802135,20,GP,AV,28265,2215,06/11,MERATUS GORONTALO-S136,MSC,2021-09-20 13:56:18,MSC,,C,PNJMTY275136
BMOU2042671,20,GP,AV,28260,2220,03/08,MERATUS GORONTALO-S136,MSC,2021-09-20 13:56:32,MSC,,C,PNJMTY275136
GLDU5589933,20,GP,AV,28250,2230,07/08,MERATUS GORONTALO-S136,MSC,2021-09-20 13:57:47,MSC,,C,PNJMTY275136
MSDU1452432,20,GP,AV,28260,2220,07/19,MERATUS GORONTALO-S136,MSC,2021-09-20 14:00:25,MSC,,C,PNJMTY275136
TCKU3766860,20,GP,DM,28300,2180,05/10,MERATUS GORONTALO-S136,MSC,2021-09-20 14:00:55,MSC,,C,PNJMTY275136
MEDU2341251,20,GP,DM,28200,2280,09/07,MERATUS GORONTALO-S136,MSC,2021-09-20 14:01:17,MSC,,C,PNJMTY275136
TCLU7677291,20,GP,DM,28290,2190,08/14,MERATUS GORONTALO-S136,MSC,2021-09-20 14:01:46,MSC,,C,PNJMTY275136
TEMU5413039,20,GP,AV,28280,2200,03/14,MERATUS GORONTALO-S136,MSC,2021-09-20 14:02:22,MSC,,C,PNJMTY275136
MSDU1615930,20,GP,AV,28260,2220,08/20,MERATUS GORONTALO-S136,MSC,2021-09-20 14:05:45,MSC,,C,PNJMTY275136
TCKU2260651,20,GP,AV,28300,2180,05/10,MERATUS GORONTALO-S136,MSC,2021-09-20 14:06:17,MSC,,C,PNJMTY275136
MSDU1672756,20,GP,AV,28260,2220,11/20,MERATUS GORONTALO-S136,MSC,2021-09-20 14:06:44,MSC,,C,PNJMTY275136
MEDU5313206,20,GP,AV,28260,2220,10/10,MERATUS GORONTALO-S136,MSC,2021-09-20 14:08:01,MSC,,C,PNJMTY275136
MSDU1117250,20,GP,AV,28260,2220,07/19,MERATUS GORONTALO-S136,MSC,2021-09-20 14:08:51,MSC,,A,PNJMTY275136
MEDU5453790,20,GP,AV,28260,2220,11/18,MERATUS GORONTALO-S136,MSC,2021-09-20 14:09:14,MSC,,A,PNJMTY275136
TGHU1862157,20,GP,AV,28280,2200,08/10,MERATUS GORONTALO-S136,MSC,2021-09-20 14:09:46,MSC,,B,PNJMTY275136
FTAU1393941,20,GP,AV,28380,2100,02/19,MERATUS GORONTALO-S136,MSC,2021-09-20 14:10:28,MSC,,A,PNJMTY275136
MSDU1677906,20,GP,AV,28260,2220,11/20,MERATUS GORONTALO-S136,MSC,2021-09-20 14:10:54,MSC,,A,PNJMTY275136
TGBU2782049,20,GP,AV,28380,2100,02/19,MERATUS GORONTALO-S136,MSC,2021-09-20 14:11:24,MSC,,A,PNJMTY275136
GLDU3723827,20,GP,AV,28250,2230,09/06,MERATUS GORONTALO-S136,MSC,2021-09-20 14:11:41,MSC,,C,PNJMTY275136
SEGU3105344,20,GP,AV,28380,2100,04/16,MERATUS GORONTALO-S136,MSC,2021-09-20 14:12:05,MSC,,C,PNJMTY275136
MEDU5888772,20,GP,AV,28260,2220,11/17,MERATUS GORONTALO-S136,MSC,2021-09-20 14:12:33,MSC,,B,PNJMTY275136
MSDU1447755,20,GP,AV,28260,2220,07/19,MERATUS GORONTALO-S136,MSC,2021-09-20 14:12:57,MSC,,A,PNJMTY275136
SEGU3019396,20,GP,AV,28330,2150,10/16,MERATUS GORONTALO-S136,MSC,2021-09-20 14:13:37,MSC,,A,PNJMTY275136
MSDU1089754,20,GP,AV,28260,2220,04/19,MERATUS GORONTALO-S136,MSC,2021-09-20 14:14:06,MSC,,A,PNJMTY275136
MEDU6138237,20,GP,AV,28280,2200,09/10,MERATUS GORONTALO-S136,MSC,2021-09-20 14:14:55,MSC,,B,PNJMTY275136
MSDU1091411,20,GP,AV,28260,2220,04/19,MERATUS GORONTALO-S136,MSC,2021-09-20 14:17:31,MSC,,A,PNJMTY275136
MSDU1802016,20,GP,AV,28260,2220,03/21,MERATUS GORONTALO-S136,MSC,2021-09-20 14:17:53,MSC,,A,PNJMTY275136
GLDU5076843,20,GP,AV,28320,2160,05/07,MERATUS GORONTALO-S136,MSC,2021-09-20 14:18:15,MSC,,C,PNJMTY275136
MSDU1451185,20,GP,AV,28260,2220,07/19,MERATUS GORONTALO-S136,MSC,2021-09-20 14:18:38,MSC,,A,PNJMTY275136
MSDU1210969,20,GP,AV,28260,2220,06/19,MERATUS GORONTALO-S136,MSC,2021-09-20 14:19:13,MSC,,A,PNJMTY275136
MEDU6827956,20,GP,DM,28265,2215,05/11,MERATUS GORONTALO-S136,MSC,2021-09-20 15:01:27,MSC,,B,PNJMTY275136
MEDU3775524,20,GP,DM,28200,2280,07/08,MERATUS GORONTALO-S136,MSC,2021-09-20 15:02:15,MSC,,C,PNJMTY275136
TRHU1824462,20,GP,DM,28300,2180,12/10,MERATUS GORONTALO-S136,MSC,2021-09-20 15:02:47,MSC,,B,PNJMTY275136
MSCU6318150,20,GP,DM,28300,2180,02/07,MERATUS GORONTALO-S136,MSC,2021-09-20 15:03:12,MSC,,C,PNJMTY275136
TCKU1768165,20,GP,DM,28300,2180,11/10,MERATUS GORONTALO-S136,MSC,2021-09-20 15:03:46,MSC,,B,PNJMTY275136
MEDU2273223,20,GP,DM,28200,2280,05/07,MERATUS GORONTALO-S136,MSC,2021-09-20 15:13:26,MSC,,C,PNJMTY275136
FCIU2018992,20,GP,DM,28260,2220,03/05,MERATUS GORONTALO-S136,MSC,2021-09-20 15:13:48,MSC,,D,PNJMTY275136
MEDU2115676,20,GP,DM,28200,2280,04/07,MERATUS GORONTALO-S136,MSC,2021-09-20 15:14:09,MSC,,C,PNJMTY275136
DFSU2935697,20,GP,DM,28320,2160,05/11,MERATUS GORONTALO-S136,MSC,2021-09-20 15:14:27,MSC,,B,PNJMTY275136
FCIU4158458,20,GP,DM,28300,2180,04/10,MERATUS GORONTALO-S136,MSC,2021-09-20 15:14:45,MSC,,B,PNJMTY275136
CAXU6389927,20,GP,DM,28280,2200,01/03,MERATUS GORONTALO-S136,MSC,2021-09-20 15:15:09,MSC,,D,PNJMTY275136
FSCU3507180,20,GP,DM,28260,2220,04/01,MERATUS GORONTALO-S136,MSC,2021-09-20 15:17:58,MSC,,D,PNJMTY275136
FCIU4320893,20,GP,DM,28300,2180,11/10,MERATUS GORONTALO-S136,MSC,2021-09-20 15:18:15,MSC,,B,PNJMTY275136
TRHU1561411,20,GP,DM,28300,2180,09/12,MERATUS GORONTALO-S136,MSC,2021-09-20 15:18:40,MSC,,B,PNJMTY275136
BEAU2812572,20,GP,DM,28270,2210,08/18,MERATUS GORONTALO-S136,MSC,2021-09-20 15:18:57,MSC,,A,PNJMTY275136
IPXU3844509,20,GP,DM,28240,2240,06/06,MERATUS GORONTALO-S136,MSC,2021-09-20 15:19:27,MSC,,B,PNJMTY275136
TCLU2577514,20,GP,DM,28280,2200,08/10,MERATUS GORONTALO-S136,MSC,2021-09-20 15:19:54,MSC,,B,PNJMTY275136
CAXU3133124,20,GP,AV,28280,2200,09/06,MERATUS GORONTALO-S136,MSC,2021-09-20 15:20:09,MSC,,C,PNJMTY275136
MEDU1300411,20,GP,DM,28200,2280,07/06,MERATUS GORONTALO-S136,MSC,2021-09-20 15:25:27,MSC,,C,PNJMTY275136
MEDU6112612,20,GP,DM,28280,2200,12/10,MERATUS GORONTALO-S136,MSC,2021-09-20 15:25:55,MSC,,B,PNJMTY275136
TTNU1873152,20,GP,AV,28250,2230,11/04,MERATUS GORONTALO-S136,MSC,2021-09-20 15:26:45,MSC,,D,PNJMTY275136
TCLU2671731,20,GP,DM,28280,2200,09/10,MERATUS GORONTALO-S136,MSC,2021-09-20 15:27:33,MSC,,B,PNJMTY275136
TRLU8924902,20,GP,DM,28250,2230,05/06,MERATUS GORONTALO-S136,MSC,2021-09-20 15:27:56,MSC,,C,PNJMTY275136
MEDU6366920,20,GP,DM,28200,2280,03/11,MERATUS GORONTALO-S136,MSC,2021-09-20 15:28:22,MSC,,B,PNJMTY275136
MEDU5217239,20,GP,DM,28260,2220,09/18,MERATUS GORONTALO-S136,MSC,2021-09-20 16:23:14,MSC,,A,PNJMTY275136
MEDU2733798,20,GP,DM,28300,2180,03/10,MERATUS GORONTALO-S136,MSC,2021-09-21 09:16:03,MSC,,B,PNJMTY275136
MEDU6475367,20,GP,DM,28260,2220,05/11,MERATUS GORONTALO-S136,MSC,2021-09-21 09:16:35,MSC,,B,PNJMTY275136
MEDU6325900,20,GP,DM,28200,2280,03/11,MERATUS GORONTALO-S136,MSC,2021-09-21 09:17:01,MSC,,B,PNJMTY275136
TGHU3657104,20,GP,DM,28280,2200,03/05,MERATUS GORONTALO-S136,MSC,2021-09-21 09:18:02,MSC,,D,PNJMTY275136
MEDU6533669,20,GP,DM,28200,2280,06/11,MERATUS GORONTALO-S136,MSC,2021-09-21 09:20:02,MSC,,B,PNJMTY275136
MEDU3030146,20,GP,DM,28200,2280,01/08,MERATUS GORONTALO-S136,MSC,2021-09-21 09:25:32,MSC,,C,PNJMTY275136
CAIU2814923,20,GP,DM,28280,2200,03/11,MERATUS GORONTALO-S136,MSC,2021-09-21 09:25:51,MSC,,B,PNJMTY275136
FCIU2202952,20,GP,DM,28260,2220,03/05,MERATUS GORONTALO-S136,MSC,2021-09-21 09:26:07,MSC,,D,PNJMTY275136
IPXU3846749,20,GP,DM,28240,2240,06/06,MERATUS GORONTALO-S136,MSC,2021-09-21 09:26:24,MSC,,C,PNJMTY275136
FCIU4410301,20,GP,DM,28300,2180,12/10,MERATUS GORONTALO-S136,MSC,2021-09-21 09:26:40,MSC,,B,PNJMTY275136
MSCU3237651,20,GP,DM,28200,2280,04/04,MERATUS GORONTALO-S136,MSC,2021-09-21 09:27:07,MSC,,D,PNJMTY275136
MSCU6303295,20,GP,DM,28200,2280,08/05,MERATUS GORONTALO-S136,MSC,2021-09-21 09:27:35,MSC,,D,PNJMTY275136
MEDU3232255,20,GP,DM,28200,2280,04/18,MERATUS GORONTALO-S136,MSC,2021-09-21 09:27:54,MSC,,A,PNJMTY275136
TCKU3921946,20,GP,DM,28260,2220,07/10,MERATUS GORONTALO-S136,MSC,2021-09-21 09:28:18,MSC,,B,PNJMTY275136
